Item ID,Item Name,Category,Subcategory,Collection,Rarity,Source Type,Source Game,Visible Unlock Condition,Internal Unlock Condition,Token Price,Equivalent Token Value,Salvage %,Giftable,Unlimited Placement,Account-Earned Only,Secret,Footprint W,Footprint D,Height Band,Placement Surface,Room Types,Rotation,Style Tags,Animation / VFX,Audio / Ambience,Future Interaction,Collection Completion Set,3D Production Notes
buy-with-game-night-tokens-everyday-basics-pine-single-bed,Pine Single Bed,Beds,Beds,Everyday Basics,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,3,Tall,Floor,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,None,None,Sleep animation later,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-double-cabin-bed,Double Cabin Bed,Beds,Beds,Everyday Basics,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,3,Tall,Floor,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,None,None,Sleep animation later,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-simple-nightstand,Simple Nightstand,Tables,Tables,Everyday Basics,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,None,None,Surface for small decor,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-four-drawer-dresser,Four-Drawer Dresser,Storage,Storage,Everyday Basics,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,None,None,Open/inspect later,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-kristen-s-cozy-lodge-,Kristen's Cozy Lodge Reading Chair,Seating,Seating,Everyday Basics,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,None,None,Sit animation later,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-small-writing-desk,Small Writing Desk,Tables,Tables,Everyday Basics,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,150,150,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,None,None,Surface for small decor,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-basic-desk-chair,Basic Desk Chair,Seating,Seating,Everyday Basics,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,35,35,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,None,None,Sit animation later,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-wall-mounted-tv,Wall-Mounted TV,Electronics,Electronics,Everyday Basics,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,Subtle emissive screen loop,Optional room ambience hook,Turn on / launch content later,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-plain-floor-lamp,Plain Floor Lamp,Lighting,Lighting,Everyday Basics,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,Warm flicker,None,Toggle / lighting preset,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-warm-table-lamp,Warm Table Lamp,Lighting,Lighting,Everyday Basics,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,Warm flicker,None,Toggle / lighting preset,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-neutral-woven-rug,Neutral Woven Rug,Rugs,Rugs,Everyday Basics,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,None,None,Decorative,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-floating-wall-shelf,Floating Wall Shelf,Storage,Storage,Everyday Basics,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,150,150,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,None,None,Open/inspect later,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-simple-picture-frame,Simple Picture Frame,Wall Decor,Wall Decor,Everyday Basics,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,20,20,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,None,None,Inspect / memory card,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-woven-dog-bed,Woven Dog Bed,Pet Items,Pet Beds & Dog Items,Everyday Basics,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,40,40,0.25,Yes,Yes,No,No,1,1,Low,Floor,Bedroom; Common Space; Guest House,90° steps,Everyday Basics; Purchasable,None,None,Dog wander target / rest animation later,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-everyday-basics-white-linen-curtains,White Linen Curtains,Windows & Doors,Windows & Doors,Everyday Basics,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,1,0,Architectural,Wall Opening,Bedroom; Common Space,90° steps,Everyday Basics; Purchasable,None,None,Architectural customization,Everyday Basics,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-log-beam-bed,Log Beam Bed,Beds,Beds,Rustic Cabin,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,150,150,0.25,Yes,Yes,No,No,2,3,Tall,Floor,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Sleep animation later,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-plaid-wool-armchair,Plaid Wool Armchair,Seating,Seating,Rustic Cabin,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Sit animation later,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-live-edge-nightstand,Live-Edge Nightstand,Tables,Tables,Rustic Cabin,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,150,150,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Surface for small decor,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-rustic-cabin-rough-sawn-dresser,Rough-Sawn Dresser,Storage,Storage,Rustic Cabin,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,35,35,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Rustic Cabin; Purchasable,None,None,Open/inspect later,Rustic Cabin,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
